Primary_Text,Original_Translation,Text_ID,Record_Number,Speaker_ID,Comments,ID,Translated_Text,Comment,Tokenized,Analyzed_Word,Gloss,Lexeme_IDs,Gramm,Morpheme_IDs,Part_Of_Speech,Wordform_ID
"irëjpë, tëwï yakërë, ana këyatase",despúes con él nos criamos,histanfo,39,AnFo,,histanfo-39,Then we grew up with him.,,irëjpë	tëwï	yakërë	ana	këyatase,irëjpë	tëwï	y-akërë	ana	këyata-se,then	3PRO	LK-with	1+3PRO	grow-PST,irejpe-then	tewi-3pro	akere-with	ana-1-3pro	keyata-grow,"adv	pn,3	postp,lk	pn,13	vi,pst","irejpe-then	tewi-3pro	akere-with,ylk	ana-1-3pro	keyata-grow,sepst",adv	pn	postp	pn	vi,irejpe-then	tewi-3pro	yakere-lk-with	ana-1-3pro	keyatase-grow-pst
"yatampe ana tëse, pipi tawara rë waraijtokompe ijtëse","nos volvimos muchachos, mi hermano también se volvió hombre",histanfo,40,AnFo,,histanfo-40,"We became adolescents, my brother became a man, too.",të meaning 'become',yatampe	ana	tëse	pipi	tawara	rë	waraijtokompe	ijtëse,yatam=pe	ana	të-se	pipi	tawara	rë	waraijtokom=pe	ij-të-se,adolescent=ESS	1+3PRO	go-PST	younger_brother_of_woman	too	EMP	man=ESS	3-go-PST,yatane-adolescent=pe-ess	ana-1-3pro	te-go	pipi-younger-brother-of-woman	tawara-too	re-emp	waraijtokomo-man=pe-ess	te-go,"n=postp,ess	pn,13	vi,pst	n	adv	part	n=postp,ess	vi,3,pst","yatane-adolescent=pe-ess	ana-1-3pro	sepst,te-go	pipi-younger-brother-of-woman	tawara-too	re-emp	waraijtokomo-man=pe-ess	i3,sepst,te-go",n=postp	pn	vi	n	adv	part	n=postp	vi,yatam-adolescent=pe-ess	ana-1-3pro	tese-go-pst	pipi-younger-brother-of-woman	tawara-too	re-emp	waraijtokom-man=pe-ess	ijtese-3-go-pst
ana këyatase tëwï yakërë,nos criamos con él,histanfo,41,AnFo,,histanfo-41,We grew up with him.,,ana	këyatase	tëwï	yakërë,ana	këyata-se	tëwï	y-akërë,1+3PRO	grow-PST	3PRO	LK-with,ana-1-3pro	keyata-grow	tewi-3pro	akere-with,"pn,13	vi,pst	pn,3	postp,lk","ana-1-3pro	keyata-grow,sepst	tewi-3pro	akere-with,ylk",pn	vi	pn	postp,ana-1-3pro	keyatase-grow-pst	tewi-3pro	yakere-lk-with
ana padrastro yakërë,con nuestro padrastro,histanfo,42,AnFo,,histanfo-42,With our stepfather.,,ana	padrastro	yakërë,ana	padrastro-∅	y-akërë,1+3PRO	stepfather-PERT	LK-with,ana-1-3pro	padrastro-stepfather	akere-with,"pn,13	n,esp,pert	postp,lk","ana-1-3pro	padrastro-stepfather,rupert	akere-with,ylk",pn	n	postp,ana-1-3pro	padrastro-stepfather-pert	yakere-lk-with
tëwï ya ana këyamase,el nos crio,histanfo,43,AnFo,,histanfo-43,He raised us.,The transcription does not match what I am hearing.,tëwï	ya	ana	këyamase,tëwï	ya	ana	këyama-se,3PRO	ERG	1+3PRO	raise-PST,tewi-3pro	ya-erg	ana-1-3pro	keyama-raise,"pn,3	postp	pn,13	vt,pst","tewi-3pro	ya-erg	ana-1-3pro	keyama-raise,sepst",pn	postp	pn	vt,tewi-3pro	ya-erg	ana-1-3pro	keyamase-raise-pst
muku wëra ana këyamase ta,"como a sus hijos nos crió a nosotros, pues",histanfo,44,AnFo,,histanfo-44,He raised us as his own children.,,muku	wëra	ana	këyamase	ta,muku	wëra	ana	këyama-se	ta,child	like	1+3PRO	raise-PST	like,muku-child	wera-like	ana-1-3pro	keyama-raise	ta-like,"n	postp	pn,13	vt,pst	part","muku-child	wera-like	ana-1-3pro	keyama-raise,sepst	ta-like",n	postp	pn	vt	part,muku-child	wera-like	ana-1-3pro	keyamase-raise-pst	ta-like
nopano wejsaj ta waraijtokomo,ese hombre era bueno,histanfo,45,AnFo,,histanfo-45,This was a good man.,,nopano	wejsaj	ta	waraijtokomo,nop-ano	wej-saj	ta	waraijtokomo,good-NMLZ	COP-PFV	like	man,nope&anonmlz	chi-cop	ta-like	waraijtokomo-man,"n,nmlz	vi,cop,pfv	part	n","anonmlz	chi-cop,sapepfv	ta-like	waraijtokomo-man",n	vi	part	n,nopano-good-nmlz	wejsaj-cop-pfv	ta-like	waraijtokomo-man
"ana tapaja ta, ana këyatase nope","ese no pegaba nada, nosotros nos criamos bien",histanfo,46,AnFo,,histanfo-46,He didn't beat us; we were raised well.,,ana	tapaja	ta	ana	këyatase	nope,ana	tapa-ja	ta	ana	këyata-se	nope,1+3PRO	beat-NEG	like	1+3PRO	grow-PST	good,ana-1-3pro	tapa-beat	ta-like	ana-1-3pro	keyata-grow	nope-good,"pn,13	vt,neg	part	pn,13	vi,pst	adv","ana-1-3pro	janeg,tapa-beat	ta-like	ana-1-3pro	keyata-grow,sepst	nope-good",pn	vt	part	pn	vi	adv,ana-1-3pro	tapaja-beat-neg	ta-like	ana-1-3pro	keyatase-grow-pst	nope-good
"tëwï waraijtokon yakërë, ana këyamase ta wejsapë",con ese hombre nos crio,histanfo,47,AnFo,,histanfo-47,"With that man, he raised us.",,tëwï	waraijtokon	yakërë	ana	këyamase	ta	wejsapë,tëwï	waraijtokon	y-akërë	ana	këyama-se	ta	wej-sapë,3PRO	man	LK-with	1+3PRO	raise-PST	like	COP-PFV,tewi-3pro	waraijtokomo-man	akere-with	ana-1-3pro	keyama-raise	ta-like	chi-cop,"pn,3	n	postp,lk	pn,13	vt,pst	part	vi,cop,pfv","tewi-3pro	waraijtokomo-man	akere-with,ylk	ana-1-3pro	keyama-raise,sepst	ta-like	chi-cop,sapepfv",pn	n	postp	pn	vt	part	vi,tewi-3pro	waraijtokon-man	yakere-lk-with	ana-1-3pro	keyamase-raise-pst	ta-like	wejsape-cop-pfv
takërë ana wejsapë ïmparëjra,estuvimos mucho tiempo con él,histanfo,48,AnFo,,histanfo-48,We were with him for a long time.,I hear *jïra*,takërë	ana	wejsapë	ïmparëjra,t-akërë	ana	wej-sapë	ïmparë=jra,3-with	1+3PRO	COP-PFV	already=NEG,akere-with	ana-1-3pro	chi-cop	empare-already=jra-neg,"postp,3	pn,13	vi,cop,pfv	adv=part,neg","akere-with,i3	ana-1-3pro	chi-cop,sapepfv	empare-already=jra-neg",postp	pn	vi	adv=part,takere-3-with	ana-1-3pro	wejsape-cop-pfv	impare-already=jra-neg
irëjpë rë warë tajtojpe pïnika wïrë sepanse,"después, mas ahora, yo me casé",histanfo,49,AnFo,,histanfo-49,"Then, closer tow now, I got married.",What is tajtojpe?,irëjpë	rë	warë	tajtojpe	pïnika	wïrë	sepanse,irëjpë	rë	wa=rë	taj-tojpe	pïnika	wïrë	sepan-se,then	EMP	thus=EMP	say-PURP	PROB	1PRO	get_married-PST,irejpe-then	re-emp	nwa-thus=re-emp	taro&tojpepurp	pinika-prob	wire-1pro	sepami-get-married,"adv	part	part=part,emp	advl,purp	part	pn,1	vi,pst","irejpe-then	re-emp	nwa-thus=re-emp	tojpepurp	pinika-prob	wire-1pro	sepami-get-married,sepst",adv	part	part=part	advl	part	pn	vi,irejpe-then	re-emp	wa-thus=re-emp	tajtojpe-say-purp	pinika-prob	wire-1pro	sepanse-get-married-pst
irëjpë,después,histanfo,50,AnFo,,histanfo-50,Then...,,irëjpë,irëjpë,then,irejpe-then,adv,irejpe-then,adv,irejpe-then
ana wejsapë,nosotros estábamos,histanfo,51,AnFo,,histanfo-51,We were.,False start? Fragment? What's the predicate?,ana	wejsapë,ana	wej-sapë,1+3PRO	COP-PFV,ana-1-3pro	chi-cop,"pn,13	vi,cop,pfv","ana-1-3pro	chi-cop,sapepfv",pn	vi,ana-1-3pro	wejsape-cop-pfv
"makë yakërë ma wejtane, tëijpë rë pïjkë ana yïwïtï","aunque estaba con mi mamá, nuestra casa estaba un poquito lejos",histanfo,52,AnFo,,histanfo-52,"Even though I was with my mom, our house was a bit far away.",,makë	yakërë	ma	wejtane	tëijpë	rë	pïjkë	ana	yïwïtï,makë	y-akërë	ma	wej-tane	tëijpë	rë	pïjkë	ana	y-ïwïtï-∅,mom	LK-with	RST	COP-CNCS	far	EMP	DIM	1+3PRO	LK-house-PERT,make-mom	akere-with	ma-rst	chi&tanecncs	teijpo-far	re-emp	pijkedim	ana-1-3pro	iwiti-house,"n	postp,lk	part	advl,cncs	adv	part	part	pn,13	n,pert,lk","make-mom	akere-with,ylk	ma-rst	tanecncs	teijpo-far	re-emp	pijkedim	ana-1-3pro	iwiti-house,rupert,ylk",n	postp	part	advl	adv	part	part	pn	n,make-mom	yakere-lk-with	ma-rst	wejtane-cop-cncs	teijpe-far	re-emp	pijke-dim	ana-1-3pro	yiwiti-lk-house-pert
"ana yïwïj yawë ana senejka wejsapë, tawara ma ana këyatajpë ana","nosotros estábamos en nuestra casa, así nos criamos",histanfo,53,AnFo,,histanfo-53,"We stayed at home, that's how we were raised.",Could the second ana be possessing papa?,ana	yïwïj	yawë	ana	senejka	wejsapë	tawara	ma	ana	këyatajpë	ana,ana	y-ïwïj-∅	yawë	ana	senejka-∅	wej-sapë	tawara	ma	ana	këyata-jpë	ana,1+3PRO	LK-house-PERT	LOC	1+3PRO	stay-IPFV	COP-PFV	too	RST	1+3PRO	grow-PST	1+3PRO,ana-1-3pro	iwiti-house	yawe-loc	ana-1-3pro	senejka-stay	chi-cop	tawara-too	ma-rst	ana-1-3pro	keyata-grow	ana-1-3pro,"pn,13	n,pert,lk	postp	pn,13	vi,ipfv	vi,cop,pfv	adv	part	pn,13	vi,pst	pn,13","ana-1-3pro	iwiti-house,rupert,ylk	yawe-loc	ana-1-3pro	riipfv,senejka-stay	chi-cop,sapepfv	tawara-too	ma-rst	ana-1-3pro	jpepst,keyata-grow	ana-1-3pro",pn	n	postp	pn	vi	vi	adv	part	pn	vi	pn,ana-1-3pro	yiwij-lk-house-pert	yawe-loc	ana-1-3pro	senejka-stay-ipfv	wejsape-cop-pfv	tawara-too	ma-rst	ana-1-3pro	keyatajpe-grow-pst	ana-1-3pro
papa pano patajpë të,en lo que era el pueblo del finado mi papá,histanfo,54,AnFo,,histanfo-54,In my late father's village.,"village, not axe",papa	pano	patajpë	të,papa	pano	pata-jpë	të,father	FMR	axe-PST	LOC,papa-father	pano-fmr	pata-axe	te-loc,"n	part	n,pst	postp","papa-father	pano-fmr	jpepst,pata-axe	te-loc",n	part	n	postp,papa-father	pano-fmr	patajpe-axe-pst	te-loc
ëmpare,ya,histanfo,55,AnFo,,histanfo-55,That's it.,,ëmpare,ëmpare,already,empare-already,adv,empare-already,adv,empare-already
