ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Record_Number,Speaker_ID
convestsjm-48,yab,wïrë ya yëmpanïkï chiripo mukutomo,wïrë	ya	yëmpanïkï	chiripo	muku-tomo,1PRO	?	***	***	child-PL,I would be teaching the children (auto),,,convestsjm-48,pn	?	?	?	n,yo estuviera enseñandole a los niños,convestsjm,48,anfo
convestsjm-49,yab,tatune iñawë rë tiyawë ma,tatune	iñawë	rë	tiyawë	ma,***	***	EMP	***	RST,"in the heat, in there (auto)",,,convestsjm-49,?	?	part	?	part,"en el calor, ahí dentro",convestsjm,49,anfo
convestsjm-50,yab,wa chiripo ati yawë senejkaja,wa	chiripo	ati	yawë	senejka-ja,thus	***	?	LOC	stay-NEG,would not be in the conuco (auto),,,convestsjm-50,part	?	?	postp	vi,no estaría en el conuco,convestsjm,50,anfo
convestsjm-51,yab,tatune moronkaja chiripo wïrë ya,tatune	moronka-ja	chiripo	wïrë	ya,***	make_suffer-NEG	***	1PRO	?,I would not be wearing the sun (auto),,,convestsjm-51,?	vt	?	pn	?,yo no estuviera llevando sol,convestsjm,51,anfo
convestsjm-52,yab,ta wïrë ya wïrë yawan këyajtëpëtïri ya,ta-∅	wïrë	ya	wïrë	yawan	këyajtëpëtïri	ya,say-IPFV	1PRO	ERG	1PRO	***	***	?,"So I say, what I feel in my heart (auto)",,,convestsjm-52,vt	pn	postp	pn	?	?	?,"así digo yo, lo que siento en mi corazón",convestsjm,52,anfo
convestsjm-53,yab,"enirë wïrë taro, tëwï pojtë ka mokontomo ya, ta wïrë ya, uya'ra pana",enirë	wïrë	taro	tëwï	pojtë-∅	ka	mokontomo	ya	ta-∅	wïrë	ya	u-ya'ra-∅	pana,?	1PRO	?	3PRO	want-ACNNMLZ	?	2PL.PRO	ERG	say-IPFV	1PRO	ERG	1-grandchild-PERT	?,"Now I say, do you want that? I say to my grandchildren. (auto)",,,convestsjm-53,?	pn	?	pn	n	?	pn	postp	vt	pn	postp	n	?,"ahora yo digo, ¿ustedes quieren eso? digo a mis nietos",convestsjm,53,anfo
convestsjm-54,yab,tatunemï moronkapo mokontomo ya,tatunemï	moronka-po-∅	mokontomo	ya,***	make_suffer-DES-IPFV	2PL.PRO	ERG,you want to endure pain (auto),,,convestsjm-54,?	vt	pn	postp,ustedes quieren aguantar dolor,convestsjm,54,anfo
convestsjm-55,yab,ati rë warai yawakaja ta wïrë ya uya'ra pana,ati	rë	warai	yawaka-ja	ta-∅	wïrë	ya	u-ya'ra-∅	pana,what	EMP	like	sow-NEG	say-IPFV	1PRO	ERG	1-grandchild-PERT	?,"how not to sow, I say to my grandchildren (auto)",,,convestsjm-55,intj	part	postp	vt	vt	pn	postp	n	?,"como no sembrar, le digo a mis nietos",convestsjm,55,anfo
convestsjm-56,yab,"nope neke ne, weretanësapë tijnëjken yawë, ëmpanë",nope	neke	ne	weretanësapë	tijnëjken	yawë	ëmpanë,good	CNTR	INTS	***	***	LOC	***,"well, sitting inside the cold, learning (auto)",,,convestsjm-56,adv	part	part	?	?	postp	?,"bien, sentado dentro de lo frio, aprender",convestsjm,56,anfo
convestsjm-57,yab,papera pëkë ëmpanë nope wïrë pana ta wejsaj wïrë ya,papera	pëkë	ëmpanë	nope	wïrë	pana	ta	wej-saj	wïrë	ya,***	about	***	good	1PRO	?	?	COP-PFV	1PRO	?,"book learning is good for me, I say (auto)",,,convestsjm-57,?	postp	?	adv	pn	?	?	vi	pn	?,"aprender en libros me parece bueno, digo yo",convestsjm,57,anfo
convestsjm-58,yab,"tajtojpe neke ne iyawë takï, mïntë sa ejnë ëmpamïja tajne ya tajtojpe neke",tajtojpe	neke	ne	i-yawë	takï	mïntë	sa	ejnë	ëmpamï-ja	ta-jne	ya	tajtojpe	neke,?	CNTR	INTS	3-LOC	CNFRM	there.LOC	EVAL	1+2PRO	learn-NEG	3-PL	ERG	?	CNTR,"so, we didn't learn anymore, so they say (auto)",,,convestsjm-58,?	part	part	postp	part	adv	part	pn	vi	pn	postp	?	part,"así, no aprendimos más, así dicen ellos",convestsjm,58,pape
convestsjm-59,yab,tajtojpe neke ne toto wejsapë,tajtojpe	neke	ne	toto	wejsapë,?	CNTR	INTS	non_Indian	?,are the creoles (auto),,,convestsjm-59,?	part	part	n	?,son los criollos,convestsjm,59,pape
convestsjm-60,yab,kërë indigena tëwï maniki takï mïntë sa ëmpamïja tajtojpe neke ne indigena chipëkë,kërë	indigena	tëwï	maniki	takï	mïntë	sa	ëmpamï-ja	tajtojpe	neke	ne	indigena	chipëkë,?	?	3PRO	REL.ANIM	CNFRM	there.LOC	EVAL	learn-NEG	?	CNTR	INTS	indigenous_person	***,these indigenous people cannot learn more because they are indigenous (auto),,,convestsjm-60,?	?	pn	part	part	adv	part	vi	?	part	part	n	?,esos indígenas no pueden aprender más porque son indígenas,convestsjm,60,pape
convestsjm-61,yab,ta wejsapë toto ya tototomo ya,ta	wej-sapë	toto	ya	toto-tomo	ya,?	COP-PFV	non_Indian	?	non_Indian-PL	?,"Thus said the criollo, the criollos, the creoles (auto)",,,convestsjm-61,?	vi	n	?	n	?,"así decía el criollo, los criollos",convestsjm,61,pape
convestsjm-62,yab,"wa chipëkë takï, onono takï ëmpamïjakontomo",wa	chipëkë	takï	onono	takï	ëmpamï-ja-kontomo,thus	***	CNFRM	another	CNFRM	learn-NEG-PL,that is why some of them did not study (auto),,,convestsjm-62,part	?	part	n	part	vi,por eso algunos no estudiaron,convestsjm,62,pape
convestsjm-63,yab,ëmpamï wejpo wejtane tajne yarëja chipëkë,ëmpamï	wej-po-∅	wejtane	ta-jne	yarë-ja	chipëkë,?	come-DES-IPFV	?	3-PL	bring-NEG	***,even though they wanted to study because they didn't take it (auto),,,convestsjm-63,?	vi	?	pn	vt	?,aunque ellos querían estudiar porque ellos no lo llevaron,convestsjm,63,pape
convestsjm-64,yab,tawarama takï tajtojpe neke wejsapë penarë,tawara=ma	takï	tajtojpe	neke	wejsapë	penarë,too=RST	CNFRM	?	CNTR	?	?,it used to be the same way (auto),,,convestsjm-64,adv	part	?	part	?	?,así mismo era antes,convestsjm,64,pape
convestsjm-65,yab,tawarajra takï enirë,tawara=jra	takï	enirë,too=NEG	CNFRM	?,now this is not the case (auto),,,convestsjm-65,adv	part	?,ahora no es así,convestsjm,65,pape
convestsjm-66,yab,"enirë tajtojpe, mïntë ëmpamïpëkë maniki takï",enirë	tajtojpe	mïntë	ëmpamï-pëkë	maniki	takï,?	?	there.LOC	learn-PROG.TR	REL.ANIM	CNFRM,now those who want to learn there (auto),,,convestsjm-66,?	?	adv	vi	part	part,ahora los que quieren aprender allá,convestsjm,66,pape
convestsjm-67,yab,tajtoj pïnika mïntë sa ëmpamïrï,taj-toj	pïnika	mïntë	sa	ëmpamï-rï,say-CIRC.NMLZ	?	there.LOC	EVAL	learn-IPFV,learn more (auto),,,convestsjm-67,n	?	adv	part	vi,aprenden más,convestsjm,67,pape
convestsjm-68,yab,papera pëkë,papera	pëkë,***	about,on the books (auto),,,convestsjm-68,?	postp,en los libros,convestsjm,68,pape
convestsjm-69,yab,tajtojpe neke ne nope enirë,tajtojpe	neke	ne	nope	enirë,?	CNTR	INTS	good	?,now it's easy (auto),,,convestsjm-69,?	part	part	adv	?,ahora es fácil,convestsjm,69,pape
convestsjm-70,yab,tawara wejsapë penarë takï tawarajra wejsapë,tawara	wejsapë	penarë	takï	tawara=jra	wejsapë,too	?	?	CNFRM	too=NEG	?,that's the way it used to be that's not the way it used to be (auto),,,convestsjm-70,adv	?	?	part	adv	?,así era antes así no era,convestsjm,70,pape
convestsjm-71,yab,tajne ya yëmpanïkïja wejsapë,ta-jne	ya	yëmpanïkïja	wejsapë,3-PL	?	***	?,they did not teach (auto),,,convestsjm-71,pn	?	?	?,ellos no enseñaban,convestsjm,71,pape
convestsjm-72,yab,tajtojpe neke ëmpamïja kërë indigena chipëkë ta tajne ya,tajtojpe	neke	ëmpamï-ja	kërë	indigena	chipëkë	ta-∅	ta-jne	ya,?	CNTR	learn-NEG	?	?	***	say-IPFV	3-PL	ERG,they do not learn because they are indigenous (auto),,,convestsjm-72,?	part	vi	?	?	?	vt	pn	postp,no aprenden porque son indígenas,convestsjm,72,pape
convestsjm-73,yab,enirë takï tawarajra entë nope,enirë	takï	tawara=jra	entë	nope,?	CNFRM	too=NEG	here.LOC	good,"today it is not like that here, it is good to (auto)",,,convestsjm-73,?	part	adv	adv	adv,"hoy en día no es así aquí, es bueno",convestsjm,73,pape
convestsjm-74,yab,¿ mënë kwa ta mërë?,mënë	kwa	ta	mërë,***	how	?	?,what do you say? (auto),,,convestsjm-74,?	part	?	?,¿qué dice usted?,convestsjm,74,pape
convestsjm-75,yab,irëjpë tawara rë wïrë ya taro sukase,irëjpë	tawara	rë	wïrë	ya	taro-∅	sukase,then	too	EMP	1PRO	ERG	say-IPFV	all,then I say all the same (auto),,,convestsjm-75,adv	adv	part	pn	postp	vt	adv,después digo igual todo,convestsjm,75,anfo
convestsjm-76,yab,entë mëtë,entë	mëtë,here.LOC	?,here it is (auto),,,convestsjm-76,adv	?,aquí está,convestsjm,76,anfo
convestsjm-77,yab,ejnë kakajtësemï papera pëkë sukase,ejnë	kakajtësemï	papera	pëkë	sukase,1+2PRO	***	***	about	all,we study everything in the book (auto),,,convestsjm-77,pn	?	?	postp	adv,nosotros estudiamos todo en el libro,convestsjm,77,anfo
convestsjm-78,yab,"sukase, penarë wejsapë pïrarë",sukase	penarë	wejsapë	pïrarë,all	before	?	NEG.EXIST,"everything, before there was no (auto)",,,convestsjm-78,adv	adv	?	part,"todo, antes no había",convestsjm,78,anfo
convestsjm-79,yab,"tajtojpe neke ne, yepematopo",tajtojpe	neke	ne	yepema-topo,?	CNTR	INTS	pay-CIRC.NMLZ,to pay (studies) (auto),,,convestsjm-79,?	part	part	n,para pagar (estudios),convestsjm,79,anfo
convestsjm-80,yab,wïrë mukuru tawara rë wejsapë mïjna ijtëri,wïrë	muku-ru	tawara	rë	wejsapë	mïjna	ij-të-ri,1PRO	child-PERT	too	EMP	?	there.ALL	3-go-IPFV,"my children were the same, they went there (auto)",,,convestsjm-80,pn	n	adv	part	?	adv	vi,"mis hijos fue igual, se fueron para allá",convestsjm,80,anfo
convestsjm-81,yab,"wïrë yepematopojna pëkë,",wïrë	yepematopojna	pëkë,1PRO	***	about,as I did not have the money to pay (auto),,,convestsjm-81,pn	?	postp,como yo no tenía para pagar,convestsjm,81,anfo
convestsjm-82,yab,"patakase wejsapë, ëmpamïja ma",patakase	wej-sapë	ëmpamï-ja	ma,?	COP-PFV	learn-NEG	RST,went out without studying no more (auto),,,convestsjm-82,?	vi	vi	part,salió sin estudiar no más,convestsjm,82,anfo
convestsjm-83,yab,iritakërë ma patakase,iritakërë	ma	patakase,***	RST	?,came out in the middle (auto),,,convestsjm-83,?	part	?,se salió por la mitad,convestsjm,83,anfo
convestsjm-84,yab,"irëjpë mïjna sa, tajtojpe neke ne",irëjpë	mïjna	sa	tajtojpe	neke	ne,then	there.ALL	EVAL	?	CNTR	INTS,then beyond (auto),,,convestsjm-84,adv	adv	part	?	part	part,después más allá,convestsjm,84,anfo
convestsjm-85,yab,mïjna wïrë ya yenepese,mïjna	wïrë	ya	yenepese,there.ALL	1PRO	ERG	?,I sent him there (auto),,,convestsjm-85,adv	pn	postp	?,para allá lo mandé,convestsjm,85,anfo
convestsjm-86,yab,"ijtëtojpe,",ij-të-tojpe,3-go-FUT,to be (auto),,,convestsjm-86,vi,para que fuera,convestsjm,86,anfo
convestsjm-87,yab,irëjpë ati ke ana yanakari,irëjpë	ati	ke	ana	yanakari,then	?	INS	1+3PRO	***,how we were going to pay (auto),,,convestsjm-87,adv	?	postp	pn	?,cómo íbamos a pagar,convestsjm,87,anfo
convestsjm-88,yab,enirë wara ana warotatopojra wejsapë,enirë	wara	ana	warota-topo=jra	wejsapë,?	?	1+3PRO	work-CIRC.NMLZ=NEG	?,as we now had no work (auto),,,convestsjm-88,?	?	pn	n	?,como ahora no teníamos trabajo,convestsjm,88,anfo
convestsjm-89,yab,pïrarë,pïrarë,NEG.EXIST,there is no (auto),,,convestsjm-89,part,no hay,convestsjm,89,anfo
convestsjm-90,yab,ana yanakatopojra wejsapë ëmpantojpe ëjpïna sa ëmpantojpe,ana	yanakatopojra	wejsapë	ëmpantojpe	ëjpïna	sa	ëmpantojpe,1+3PRO	***	?	?	often	EVAL	?,we could not afford to pay for them to learn more (auto),,,convestsjm-90,pn	?	?	?	adv	part	?,no teníamos para pagar para que aprendieran más,convestsjm,90,anfo
convestsjm-91,yab,irë iritakërë ma apatakase,irë	iritakërë	ma	apatakase,3ANA.INAN	***	RST	?,came out in the middle (auto),,,convestsjm-91,dem	?	part	?,se salió a la mitad,convestsjm,91,anfo
convestsjm-92,yab,wïrë mukuru puri maniki,wïrë	muku-ru	puri	maniki,1PRO	child-PERT	***	REL.ANIM,"my son, the eldest (auto)",,,convestsjm-92,pn	n	?	part,"el hijo mío, el mayor",convestsjm,92,anfo
convestsjm-93,yab,"mïjna sa, ëmpamïja wejsapë",mïjna	sa	ëmpamï-ja	wejsapë,there.ALL	EVAL	learn-NEG	?,did not learn more (auto),,,convestsjm-93,adv	part	vi	?,no aprendió más,convestsjm,93,anfo
convestsjm-94,yab,pïrarë ana yepematopojra chipëkë,pïrarë	ana	yepema-topo=jra	chipëkë,NEG.EXIST	1+3PRO	pay-CIRC.NMLZ=NEG	***,because we could not afford to pay (auto),,,convestsjm-94,part	pn	n	?,porque no teníamos para pagar,convestsjm,94,anfo
convestsjm-95,yab,ëmpantojpe,ëmpantojpe,?,to study (auto),,,convestsjm-95,?,para estudiar,convestsjm,95,anfo
convestsjm-96,yab,"sukase, irëjpë, ëjpënakase",sukase	irëjpë	ëjpënakase,all	then	?,then returned (auto),,,convestsjm-96,adv	adv	?,después volvió,convestsjm,96,anfo
convestsjm-97,yab,"tajtojpe neke ne, inairi tajne ya tujnanpëjse, irëjpë ëjpënakase sarë",tajtojpe	neke	ne	inairi	ta-jne	ya	tujnanpëjse	irëjpë	ëjpënakase	sarë,?	CNTR	INTS	***	3-PL	?	***	then	?	?,"his things were stolen, and then he had to come back here. (auto)",,,convestsjm-97,?	part	part	?	pn	?	?	adv	?	?,"las cosas de él las robaron, y después tuvo que regresar acá",convestsjm,97,anfo
convestsjm-98,yab,"ëmpamïja wejsapë, tëwï ma",ëmpamï-ja	wejsapë	tëwï	ma,learn-NEG	?	3PRO	RST,he did not study (auto),,,convestsjm-98,vi	?	pn	part,no estudió él,convestsjm,98,anfo
convestsjm-99,yab,tayïmïjse iritakërë ma,tayïmïjse	iritakërë	ma,***	***	RST,I leave the study halfway through (auto),,,convestsjm-99,?	?	part,dejo el estudio la mitad,convestsjm,99,anfo
convestsjm-100,yab,mïjna sa ëmpamïja wejsapë wïrë mukuru maniki,mïjna	sa	ëmpamï-ja	wejsapë	wïrë	muku-ru	maniki,there.ALL	EVAL	learn-NEG	?	1PRO	child-PERT	REL.ANIM,my son did not study anymore (auto),,,convestsjm-100,adv	part	vi	?	pn	n	part,no estudió mas el hijo mío,convestsjm,100,anfo
convestsjm-101,yab,"mmm, tawara takï wejsapë",mmm	tawara	takï	wejsapë,yes	too	CNFRM	?,so it was (auto),,,convestsjm-101,intj	adv	part	?,así fue,convestsjm,101,pape
convestsjm-102,yab,tawarajra takï enirë,tawara=jra	takï	enirë,too=NEG	CNFRM	?,this is not the way it is now (auto),,,convestsjm-102,adv	part	?,así no es ahora,convestsjm,102,pape
convestsjm-103,yab,"enirë ëmpamïja maniki takï, tapojtëja chipëkë",enirë	ëmpamï-ja	maniki	takï	ta-pojtë-ja	chipëkë,?	learn-NEG	REL.ANIM	CNFRM	3P-want-NEG	***,now he who does not study is because he does not want to (auto),,,convestsjm-103,?	vi	part	part	vt	?,ahora el que no estudia es porque no quiere,convestsjm,103,pape
convestsjm-104,yab,wïrë taro tajtojpe neke ne,wïrë	taro	tajtojpe	neke	ne,1PRO	?	?	CNTR	INTS,I put it this way (auto),,,convestsjm-104,pn	?	?	part	part,yo digo así,convestsjm,104,pape
convrisamaj-1,yab,"ati rë warai mërë iniri, irëjpë mëyarika ti",ati	rë	warai	mërë	ini-ri	irëjpë	më-yarika-∅	ti,what	EMP	like	2PRO	see-IPFV	then	2-laugh-IPFV	HSY,You see something and then you laugh.,,,convrisamaj-1,intj	part	postp	pn	vt	adv	vi	part,ve una cosa y después usted se ríe,convrisamaj,1,elpe
convrisamaj-2,yab,"mëyaruwari, mëpëkëpene",më-yaruwa-ri	më-pëkëpene,2-laugh-IPFV	2-alone,You just laugh.,,,convrisamaj-2,vi	postp,usted se rie sola,convrisamaj,2,elpe
convrisamaj-3,yab,"ejnë pëkëpene ejnë yaruwaja, ënka wanene",ejnë	pëkëpene	ejnë	yaruwa-ja	ënka	wanene,1+2PRO	alone	1+2PRO	laugh-NEG	right	aunt,"We don’t just laugh, right, aunt?",,,convrisamaj-3,pn	postp	pn	vi	part	n,"nosotras no nos reímos solas, verdad tía?",convrisamaj,3,elpe
convrisamaj-4,yab,wïrë yaruwarijra,wïrë	yaruwarijra,1PRO	?,I don’t laugh.,,interesting utterance-level stress pattern,convrisamaj-4,pn	?,!‘yo no me río,convrisamaj,4,grme
convrisamaj-5,yab,"ejnë yaruwari tajne yakarama pëkë rë nwarë, nope esene mare, tawara neke ne, ënka",ejnë	yaruwa-ri	ta-jne	yakarama-∅	pëkë	rë	nwa=rë	nope	esene-∅	mare	tawara	neke	ne	ënka,1+2PRO	laugh-IPFV	3-PL	tell-ACNNMLZ	about	EMP	thus=EMP	good	see_self-IPFV	REL.INAN	too	CNTR	INTS	right,"We laugh when somebody tells (us) something, something you see well, like that, right.",,,convrisamaj-5,pn	vi	pn	n	postp	part	part	adv	vi	part	adv	part	part	part,"nosotros nos reimos cuando alguien (nos) cuenta, lo que se ve bien, así sí, verdad",convrisamaj,5,elpe
convrisamaj-6,yab,¿ kwase ejnë yaruwari?,kwase	ejnë	yaruwa-ri,how	1+2PRO	laugh-IPFV,How will we laugh?,,more material after yaruwari,convrisamaj-6,part	pn	vi,¿cómo vamos a reir?,convrisamaj,6,elpe
convrisamaj-7,yab,"wïrë yaruwakempïnirë, mëkïsantomo a-ja-ja tajtane",wïrë	yaruwa-∅-ke-m=pïnirë	mëkïsantomo	a-ja-ja	taj-tane,1PRO	laugh-ACNNMLZ-PROP-NMLZ=NEG	DIST.ANIM.PL	***	say-CNCS,I don’t laugh although they are saying “hahaha”.,,,convrisamaj-7,pn	adv	dem	?	adv,"yo no me río, aunque aquellos dicen a-ja-ja",convrisamaj,7,grme
convrisamaj-8,yab,"¡ kï %¡ ¿ mokontomo serekapojra ka mokontomo yaruwari %¿ wïrë yaruwarijra taro wïrë, ta ta wïrë ya",kï	mokontomo	sereka-po-∅=jra	ka	mokontomo	yaruwa-ri	wïrë	yaruwarijra	taro-∅	wïrë	ta-∅	ta	wïrë	ya,ugh	2PL.PRO	become_tired-DES-IPFV=NEG	Q	2PL.PRO	laugh-IPFV	1PRO	?	say-IPFV	1PRO	say-IPFV	like	1PRO	ERG,"Oh! You don’t get tired of laughing? I don’t laugh, is what I’m saying.",,,,intj	pn	vi	part	pn	vi	pn	?	vt	pn	vt	part	pn	postp,"uy! ustedes será que no se cansan de reir? yo no me río, decía yo",convrisamaj,8,grme
convrisamaj-9,yab,"tëwï neke ne, tajne yakarama pokono nwarë tajne iri mïntë, tunampe",tëwï	neke	ne	ta-jne	yakarama-∅	poko-no	nwa=rë	ta-jne	i-ri	mïntë	tunam-∅=pe,3PRO	CNTR	INTS	3-PL	tell-ACNNMLZ	about-NMLZ	thus=EMP	3-PL	put-IPFV	there.LOC	hide-ACNNMLZ=ESS,"Yes indeed, they tell what they are doing there on the down-low.",,Can't make the morphosyntax match with the translation.,convrisamaj-9,pn	part	part	pn	n	n	part	pn	vt	adv	n,"eso sí, lo cuentan lo que hacen allá escondidos",convrisamaj,9,elpe
convrisamaj-10,yab,"tajne yarikari irëjpë, tajne yakarama pokono",ta-jne	yarika-ri	irëjpë	ta-jne	yakarama-∅	poko-no,3-PL	laugh-IPFV	then	3-PL	tell-ACNNMLZ	about-NMLZ,They laugh because they tell it.,,irëjpe followed by pokono?,convrisamaj-10,pn	vi	adv	pn	n	n,se ríen porque lo cuentan,convrisamaj,10,elpe
convrisamaj-11,yab,"tawaja ejnë, ejnë neke ne, ejnë pëkëpene ejnë yarikaja",tawaja	ejnë	ejnë	neke	ne	ejnë	pëkëpene	ejnë	yarika-ja,thus.NEG	1+2PRO	1+2PRO	CNTR	INTS	1+2PRO	alone	1+2PRO	laugh-NEG,"We’re not like that, we don’t just laugh.",,,convrisamaj-11,adv	pn	pn	part	part	pn	postp	pn	vi,"nosotros no somos así, nosotros no nos reímos solos",convrisamaj,11,elpe
convrisamaj-12,yab,¿ ati ejnë yaruwari?,ati	ejnë	yaruwa-ri,what	1+2PRO	laugh-IPFV,What are we going to laugh about?,,Shows ati not acting as a noun.,convrisamaj-12,intj	pn	vi,¿de qué nos vamos a reir?,convrisamaj,12,elpe
convrisamaj-13,yab,"pïrarë, seneja ejnë yarikatopo",pïrarë	sene-ja	ejnë	yarika-topo,NEG.EXIST	see_self-NEG	1+2PRO	laugh-CIRC.NMLZ,"Nothing, there’s nothing for us to laugh.",,,convrisamaj-13,part	vi	pn	n,"no hay, no se ve para nosotros reir",convrisamaj,13,elpe
convrisamaj-14,yab,nwarë ti ta ta,nwa=rë	ti	ta-∅	ta,thus=EMP	HSY	say-IPFV	like,That’s what they said (?),,Unclear.,convrisamaj-14,part	part	vt	part,así dijo,convrisamaj,14,elpe
convrisamaj-15,yab,taitapo ti,ta-ita-po-∅	ti,3P-hear-DES-IPFV	HSY,I want to hear it.,,,convrisamaj-15,vt	part,lo quiere escuchar,convrisamaj,15,elpe
convrisamaj-16,yab,¿ ati ta ta?,ati	ta-∅	ta,what	say-IPFV	like,What are you saying?,,ati acting as a noun?,convrisamaj-16,intj	vt	part,¿qué dice?,convrisamaj,16,grme
convrisamaj-17,yab,chiri ma wïrë taro,chi-ri	ma	wïrë	taro-∅,COP-ACNNMLZ	RST	1PRO	say-IPFV,That’s all I’m saying.,,,convrisamaj-17,n	part	pn	vt,eso no más lo que digo yo,convrisamaj,17,grme
convrisamaj-18,yab,"tawarama taro wïrë, wïrë yewenke",tawara=ma	taro-∅	wïrë	wïrë	y-ewenke,too=RST	say-IPFV	1PRO	1PRO	LK-ignorant,"That’s all I’m saying, too, I don’t know.",,Postpositional predicate?,convrisamaj-18,adv	vt	pn	pn	postp,"así digo yo, yo no sé",convrisamaj,18,elpe
convrisamaj-19,yab,¿ ati pëkë ejnë yaruwari?,ati	pëkë	ejnë	yaruwa-ri,what	about	1+2PRO	laugh-IPFV,What are we going to laugh about?,,ati w/ a postposition,convrisamaj-19,intj	postp	pn	vi,¿de qué nos vamos a reir?,convrisamaj,19,elpe
convrisamaj-20,yab, yaruwakempïnirë wïrë,yaruwa-∅-ke-m=pïnirë	wïrë,laugh-ACNNMLZ-PROP-NMLZ=NEG	1PRO,I don’t laugh.,,,convrisamaj-20,adv	pn,!‘Yo no me río,convrisamaj,20,grme
convrisamaj-21,yab,"wïrë yaruwakempïnirë wïrë senejkarï uyïwïj yaka sukuri, jwama",wïrë	yaruwa-∅-ke-m=pïnirë	wïrë	senejka-rï	u-y-ïwïj-∅	yaka	sukuri	jwama,1PRO	laugh-ACNNMLZ-PROP-NMLZ=NEG	1PRO	stay-IPFV	1-LK-house-PERT	ALL	silently	***,"I don’t laugh, I silently stay in my house.",,,convrisamaj-21,pn	adv	pn	vi	n	postp	adv	?,"yo no me río, yo me siento en mi casa calladita",convrisamaj,21,grme
convrisamaj-22,yab,mëkïsantomo yaruwari wïrë itari,mëkïsantomo	yaruwa-ri	wïrë	ita-ri,DIST.ANIM.PL	laugh-IPFV	1PRO	hear-IPFV,They’re laughing and I’m listening.,,,convrisamaj-22,dem	vi	pn	vt,aquellos se rien y yo los oigo,convrisamaj,22,grme
convrisamaj-23,yab,"kï, serekapojra ka mokontomo yaruwari",kï	sereka-po-∅=jra	ka	mokontomo	yaruwa-ri,ugh	become_tired-DES-IPFV=NEG	Q	2PL.PRO	laugh-IPFV,"Ugh, don’t you get tired from laughing so much?",,Juxtaposed main clauses with causal interpretation?,convrisamaj-23,intj	vi	part	pn	vi,uy! será que ustedes no se cansan de tanto reir,convrisamaj,23,grme
convrisamaj-24,yab,wïrë wajyakïtïjra taro wïrë ta wïrë ya,wïrë	wajyakïtïjra	taro-∅	wïrë	ta-∅	wïrë	ya,1PRO	?	say-IPFV	1PRO	say-IPFV	1PRO	ERG,I’m saying I am not happy.,,,convrisamaj-24,pn	?	vt	pn	vt	pn	postp,yo si no estoy alegre (como ustedes),convrisamaj,24,grme
convrisamaj-25,yab,kajkë,kaj-kë,say-IMP,You’re right.,,,convrisamaj-25,vi,tiene razón,convrisamaj,25,elpe
convrisamaj-26,yab, ta wejsaj wïrë,ta-∅	wej-saj	wïrë,say-IPFV	COP-PFV	1PRO,I'm saying...,,,convrisamaj-26,vt	vi	pn,### así digo yo,convrisamaj,26,grme
convrisamaj-27,yab,"tawaraij wïrë, yaruwakempïnirë,",tawaraij	wïrë	yaruwa-∅-ke-m=pïnirë,too	1PRO	laugh-ACNNMLZ-PROP-NMLZ=NEG,"I’m not like that, I don’t laugh.",,"more material? Also, 'yo soy así'?",convrisamaj-27,adv	pn	adv,"yo no soy así, yo no me río",convrisamaj,27,grme
convrisamaj-28,yab,uyïwïj yawë usenejkari sukuri jwama,u-y-ïwïj-∅	yawë	u-senejka-ri	sukuri	jwama,1-LK-house-PERT	LOC	1-stay-IPFV	silently	***,I silently stay in my house.,,,convrisamaj-28,n	postp	vi	adv	?,yo me quedo en mi casa tranquila,convrisamaj,28,grme
convrisamaj-29,yab,nope seneja chipokono ejnë pana nope seneja chipokono ejnë yaruwatopo pïrarë,nope	sene-ja	chipokono	ejnë	pana	nope	sene-ja	chipokono	ejnë	yaruwa-topo	pïrarë,good	see_self-NEG	***	1+2PRO	DAT	good	see_self-NEG	***	1+2PRO	laugh-CIRC.NMLZ	NEG.EXIST,"We don’t see anything good, so we don’t laugh.",,This looks like a false start.,convrisamaj-29,adv	vi	?	pn	postp	adv	vi	?	pn	n	part,nosotros no nos reimos porque no vemos nada bueno,convrisamaj,29,elpe
convrisamaj-30,yab,"inkë, irë nwa chipëkë",in-kë	irë	nwa	chipëkë,see-IMP	3ANA.INAN	thus	***,"You see, that’s why.",,Don't know how to interpret this.,convrisamaj-30,vt	dem	part	?,"vea, por eso es",convrisamaj,30,grme
convrisamaj-31,yab,mërë nwa chipokono ejnë yarikaja,mërë	nwa	chipokono	ejnë	yarika-ja,MED.INAN	thus	***	1+2PRO	laugh-NEG,That’s why we don’t laugh.,,chipokono without a verb.,convrisamaj-31,dem	part	?	pn	vi,por eso nosotros no nos reímos,convrisamaj,31,elpe
convrisamaj-32,yab,tëwïsantomo neke ne yaruwatëpëkë ma rë chikontomo,tëwïsantomo	neke	ne	yaruwa-tëpëkë	ma	rë	chi-∅-kontomo,3PRO.PL	CNTR	INTS	laugh-PROG.INTR	RST	EMP	COP-IPFV-PL,But they’re constantly laughing.,,,convrisamaj-32,pn	part	part	vi	part	part	vi,ellos sí siempre pasan riendose,convrisamaj,32,elpe
convrisamaj-33,yab,tajne ini pokono waimukontomo,ta-jne	ini-∅	poko-no	waimu-∅-kontomo,3-PL	see-ACNNMLZ	about-NMLZ	speak-IPFV-PL,"Because they see, they speak.",,,convrisamaj-33,pn	n	n	vi,porque ellos ven ellos hablan,convrisamaj,33,elpe
